event_uuid,Date,Event_Year,Event,Discipline,Competition,Competitor,Birth_Year,Club,Country,Stage,Rank,Total,Mark,Elements,Execution,T,H,D,athlete_number,routine_number,bonus,penalty,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,l,a,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,rules,is_complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame B Individuel,Ida Kilsgaard Thomsen,2009,Springteam Nordjylland,DEN,Qualification_1,2,78.645,39.285,10,15.5,14.185,9.6,0,1,1,0,0,4,3,4,6,6,4,6,2,4,6,0,0,1455,1460,1420,1440,1420,1435,1415,1415,1460,1265,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame B Individuel,Ida Kilsgaard Thomsen,2009,Springteam Nordjylland,DEN,Qualification_2,2,78.645,39.36,10,13,12.76,9.3,4.3,1,2,0,0,7,8,8,6,9,8,6,8,5,5,0,0,1455,1340,1275,1200,1210,1160,1255,1245,1295,1325,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame B Individuel,Cecilie Neve,2011,Springteam Nordjylland,DEN,Qualification_1,3,75.88,33.93,10,11.8,13.33,8.8,0,1,1,0,0,5,8,9,9,7,9,9,9,8,9,0,0,1545,1425,1350,1310,1235,1195,1265,1265,1370,1370,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame B Individuel,Cecilie Neve,2011,Springteam Nordjylland,DEN,Qualification_2,3,75.88,41.95,10,12.7,13.95,9.1,6.2,1,2,0,0,8,6,8,3,10,8,8,7,7,8,0,0,1460,1485,1375,1435,1375,1375,1380,1395,1360,1310,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame B Individuel,Lærke Huanqin Lundegaard Mortensen,2009,Strib Udspring & Trampolin,DEN,Final,2,43.455,43.455,10,13.3,12.155,9.4,8.6,1,1,0,0,6,8,7,6,6,6,6,6,6,8,2,0,1260,1285,1205,1240,1190,1180,1195,1205,1215,1180,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame B Individuel,Ida Kilsgaard Thomsen,2009,Springteam Nordjylland,DEN,Final,1,45.445,45.445,10,13.5,13.845,9.7,8.4,1,1,0,0,7,5,7,7,6,6,7,5,7,7,1,0,1460,1445,1375,1360,1340,1345,1365,1390,1405,1360,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame B Individuel,Lærke Huanqin Lundegaard Mortensen,2009,Strib Udspring & Trampolin,DEN,Qualification_1,1,79.44,37.31,10,15.3,12.31,9.7,0,1,1,0,0,5,4,5,6,6,4,6,2,4,5,0,0,1295,1280,1250,1240,1215,1230,1220,1215,1275,1090,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame B Individuel,Lærke Huanqin Lundegaard Mortensen,2009,Strib Udspring & Trampolin,DEN,Qualification_2,1,79.44,42.13,10,12.5,11.73,9.3,8.6,1,2,0,0,6,8,8,6,8,8,8,6,7,8,2,0,1235,1235,1170,1145,1110,1180,1170,1160,1175,1150,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Annika Morill Jacobsen,2010,KTK,DEN,Qualification_1,12,72.12,33.8,10,12.9,11.8,9.1,0,1,1,0,0,9,6,7,7,4,7,9,6,6,10,0,0,1220,1255,1185,1160,1205,1145,1135,1165,1245,1085,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Annika Morill Jacobsen,2010,KTK,DEN,Qualification_2,12,72.12,38.32,10,13,12.02,9.4,3.9,1,2,0,0,8,5,8,8,3,8,8,5,6,9,2,0,1220,1235,1190,1175,1220,1195,1170,1195,1275,1145,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Vanilla Søkjær,2011,KTK,DEN,Final,3,41.81,41.81,10,14.7,12.71,10,4.4,1,1,0,0,6,5,4,5,6,6,6,3,6,6,0,0,1315,1280,1315,1300,1260,1260,1225,1255,1310,1190,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Laura Engholt Andersen,2011,Springteam Nordjylland,DEN,Qualification_1,2,79.93,37.805,10,15.1,13.105,9.6,0,1,1,0,0,5,6,3,3,6,6,4,0,6,6,4,0,1380,1325,1345,1345,1305,1405,1295,1205,1305,1195,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Laura Engholt Andersen,2011,Springteam Nordjylland,DEN,Qualification_2,2,79.93,42.125,10,14.2,13.025,9.8,5.1,1,2,0,0,4,6,8,8,2,5,6,6,5,4,4,0,1375,1315,1295,1265,1315,1265,1265,1255,1390,1285,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Olivia Wieland Rix,2011,Odense Gymnastik Forening,DEN,Qualification_1,10,75.145,36.265,10,15,11.365,9.9,0,1,1,0,0,6,4,4,6,6,3,4,6,4,7,0,0,1235,1165,1125,1145,1155,1160,1210,1115,1025,1030,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Olivia Wieland Rix,2011,Odense Gymnastik Forening,DEN,Qualification_2,10,75.145,38.88,10,13.2,11.08,9.7,4.9,1,2,0,0,4,6,7,8,7,8,7,6,5,6,4,0,1085,1075,1145,1105,1155,1135,1255,1145,1020,960,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Agnes Haldbo Kallestrup,2011,Strib Udspring & Trampolin,DEN,Qualification_1,3,79.56,38.06,10,15.9,12.56,9.6,0,1,1,0,0,4,6,5,6,6,0,2,5,3,4,0,0,1365,1305,1240,1215,1230,1250,1330,1240,1205,1180,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Agnes Haldbo Kallestrup,2011,Strib Udspring & Trampolin,DEN,Qualification_2,3,79.56,41.5,10,14.4,12.4,9.8,4.9,1,2,0,0,4,6,6,7,4,5,1,7,8,8,0,0,1275,1245,1240,1210,1310,1245,1225,1205,1220,1225,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Vanilla Søkjær,2011,KTK,DEN,Qualification_1,4,79.415,37.745,10,15.2,12.545,10,0,1,1,0,0,3,2,4,5,5,6,8,4,6,5,0,0,1280,1300,1295,1255,1265,1250,1185,1210,1310,1195,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Vanilla Søkjær,2011,KTK,DEN,Qualification_2,4,79.415,41.67,10,15,12.57,9.7,4.4,1,2,0,0,3,3,4,6,6,6,5,3,6,8,0,0,1290,1245,1270,1240,1250,1250,1215,1245,1325,1240,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Katrine Vestbjerg,2009,Roskilde Gymnastikforening,DEN,Qualification_1,14,55.22,12.04,3,5,4.14,2.9,0,1,1,0,0,4,2,4,0,0,0,0,0,0,0,0,0,1475,1375,1290,NA,NA,NA,NA,NA,NA,NA,TRA FIG 2022,Incomplete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Katrine Vestbjerg,2009,Roskilde Gymnastikforening,DEN,Qualification_2,14,55.22,43.18,10,15.2,13.28,9.8,4.9,1,2,0,0,4,5,6,6,4,6,4,4,1,6,2,0,1340,1285,1305,1305,1325,1340,1435,1355,1310,1280,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Agnes Haldbo Kallestrup,2011,Strib Udspring & Trampolin,DEN,Final,4,41.525,41.525,10,14.5,12.425,9.7,4.9,1,1,0,0,6,6,6,7,5,4,1,6,6,6,2,0,1270,1230,1240,1230,1335,1265,1220,1200,1210,1225,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Celia Park Schou-Lassen,2008,Roskilde Gymnastikforening,DEN,Qualification_1,8,77.035,37.16,10,15,12.26,9.9,0,1,1,0,0,6,5,4,6,7,5,3,4,4,6,0,0,1400,1305,1220,1230,1190,1180,1265,1180,1160,1130,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Celia Park Schou-Lassen,2008,Roskilde Gymnastikforening,DEN,Qualification_2,8,77.035,39.875,10,14,11.975,9.4,4.5,1,2,0,0,4,6,6,6,6,6,7,4,6,6,3,0,1270,1210,1220,1170,1215,1195,1145,1180,1255,1115,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Adrianna Kujawa,2011,Greve Gymnastik og Trampolin,DEN,Final,5,41.245,41.245,10,13.7,12.945,9.6,5,1,1,0,0,6,5,6,8,5,8,6,6,5,6,2,0,1415,1305,1265,1275,1285,1250,1265,1235,1365,1285,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Tinke Sonne,2008,Roskilde Gymnastikforening,DEN,Qualification_1,9,76.745,36.635,10,14.8,12.435,9.4,0,1,1,0,0,6,5,5,6,8,5,3,4,4,6,0,0,1390,1305,1240,1255,1205,1185,1295,1215,1185,1160,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Tinke Sonne,2008,Roskilde Gymnastikforening,DEN,Qualification_2,9,76.745,40.11,10,13.6,12.31,9.3,4.9,1,2,0,0,4,6,7,7,6,6,6,6,3,7,6,0,1305,1225,1230,1200,1230,1220,1330,1255,1180,1135,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Andrea Lytje Kjær,2009,Roskilde Gymnastikforening,DEN,Qualification_1,1,87.745,42.225,10,17.8,14.525,9.9,0,1,1,0,0,3,2,2,3,4,0,1,2,3,2,0,0,1585,1490,1455,1450,1415,1440,1515,1415,1380,1380,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Andrea Lytje Kjær,2009,Roskilde Gymnastikforening,DEN,Qualification_2,1,87.745,45.52,10,15.9,14.22,9.7,5.7,1,2,0,0,2,3,1,8,5,4,4,4,5,5,0,0,1455,1440,1430,1415,1390,1435,1420,1415,1465,1355,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Andrea Lytje Kjær,2009,Roskilde Gymnastikforening,DEN,Final,1,45.375,45.375,10,15.9,14.275,9.5,5.7,1,1,0,0,2,3,1,8,6,4,4,3,5,5,0,0,1480,1465,1460,1410,1405,1435,1420,1430,1465,1305,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Adrianna Kujawa,2011,Greve Gymnastik og Trampolin,DEN,Qualification_1,7,77.875,36.76,10,14.2,12.86,9.7,0,1,1,0,0,8,7,4,5,7,6,4,3,6,8,0,0,1355,1280,1315,1305,1285,1345,1275,1205,1305,1190,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Adrianna Kujawa,2011,Greve Gymnastik og Trampolin,DEN,Qualification_2,7,77.875,41.115,10,13.9,12.715,9.5,5,1,2,0,0,5,6,6,7,5,7,7,6,7,5,0,0,1375,1250,1220,1240,1265,1265,1280,1250,1325,1245,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Maia Hansen,2010,Greve Gymnastik og Trampolin,DEN,Final,6,41.11,41.11,10,14.1,12.41,9.7,4.9,1,1,0,0,3,8,6,8,5,6,6,4,5,8,0,0,1325,1280,1230,1240,1230,1215,1340,1245,1180,1125,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Amalie Asmussen,2010,Odense Gymnastik Forening,DEN,Final,7,40.905,40.905,10,14,12.505,9.5,4.9,1,1,0,0,5,8,8,6,6,6,5,4,3,9,0,0,1235,1195,1210,1225,1260,1255,1370,1280,1240,1235,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Maia Hansen,2010,Greve Gymnastik og Trampolin,DEN,Qualification_1,6,77.95,36.565,10,14.2,12.565,9.8,0,1,1,0,0,3,5,4,6,6,6,6,6,6,10,0,0,1340,1285,1320,1250,1260,1360,1260,1155,1210,1125,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Maia Hansen,2010,Greve Gymnastik og Trampolin,DEN,Qualification_2,6,77.95,41.385,10,13.9,12.585,10,4.9,1,2,0,0,6,4,4,6,5,6,8,4,6,9,3,0,1305,1280,1270,1260,1265,1250,1355,1270,1200,1130,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Amalie Asmussen,2010,Odense Gymnastik Forening,DEN,Qualification_1,5,78.24,37.47,10,15.2,12.47,9.8,0,1,1,0,0,4,6,6,5,5,4,3,2,4,6,3,0,1335,1215,1160,1205,1240,1250,1350,1245,1240,1230,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Amalie Asmussen,2010,Odense Gymnastik Forening,DEN,Qualification_2,5,78.24,40.77,10,13.6,12.47,9.8,4.9,1,2,0,0,5,6,6,6,6,6,7,5,6,9,2,0,1225,1215,1235,1240,1275,1255,1340,1260,1210,1215,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Celia Park Schou-Lassen,2008,Roskilde Gymnastikforening,DEN,Final,8,40.4,40.4,10,14.2,12.1,9.6,4.5,1,1,0,0,3,6,7,7,4,6,7,4,6,8,0,0,1300,1225,1190,1190,1210,1215,1175,1165,1285,1145,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Laura Engholt Andersen,2011,Springteam Nordjylland,DEN,Final,2,42.54,42.54,10,14.8,13.24,9.4,5.1,1,1,0,0,3,4,8,8,2,5,6,8,4,4,0,0,1405,1340,1335,1295,1335,1260,1270,1300,1410,1290,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Matilde Kirk-Laursen,2011,Odense Gymnastik Forening,DEN,Qualification_1,13,69.835,32.79,10,11.8,11.39,9.6,0,1,1,0,0,9,4,6,9,6,5,4,6,4,9,20,0,1265,1185,1150,1165,1140,1120,1180,1095,1070,1020,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Matilde Kirk-Laursen,2011,Odense Gymnastik Forening,DEN,Qualification_2,13,69.835,37.045,10,12.6,11.145,9.8,3.5,1,2,0,0,8,8,6,9,10,5,9,5,4,8,2,0,1165,1115,1120,1120,1105,1100,1170,1095,1090,1065,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Freja Petersen,2010,Odense Gymnastik Forening,DEN,Qualification_1,11,74.37,35.435,10,13.3,12.335,9.8,0,1,1,0,0,8,6,6,8,9,5,5,6,4,8,2,0,1365,1260,1210,1190,1205,1205,1340,1230,1175,1155,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame C Individuel,Freja Petersen,2010,Odense Gymnastik Forening,DEN,Qualification_2,11,74.37,38.935,10,12.9,12.235,9.7,4.1,1,2,0,0,7,8,5,8,7,6,7,7,7,5,4,0,1220,1195,1215,1205,1195,1230,1205,1215,1315,1240,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Grace Matembele-Lyon,2013,KTK,DEN,Qualification_1,1,78.315,37.29,10,15,12.49,9.8,0,1,1,0,0,4,4,4,5,4,5,4,4,6,6,4,0,1235,1260,1260,1225,1245,1350,1240,1200,1245,1230,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Grace Matembele-Lyon,2013,KTK,DEN,Qualification_2,1,78.315,41.025,10,14.7,12.125,9.8,4.4,1,2,0,0,4,8,5,6,6,5,5,2,5,5,2,0,1355,1250,1195,1160,1175,1210,1200,1210,1195,1175,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Sofia Bjerring Romme,2012,Roskilde Gymnastikforening,DEN,Final,7,37.08,37.08,10,13,12.08,9.7,2.3,1,1,0,0,8,6,4,8,10,9,5,5,5,8,2,0,1305,1220,1185,1220,1205,1215,1275,1190,1175,1090,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Norah Marie Bason,2013,KTK,DEN,Qualification_1,3,77.23,38.085,10,15.3,12.885,9.9,0,1,1,0,0,5,5,6,7,2,5,4,4,4,5,0,0,1330,1340,1310,1265,1270,1365,1260,1245,1290,1210,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Norah Marie Bason,2013,KTK,DEN,Qualification_2,3,77.23,39.145,10,13.1,12.445,9.7,3.9,1,2,0,0,5,6,5,6,7,8,7,7,9,8,1,0,1460,1295,1210,1255,1245,1270,1210,1240,1165,1095,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Isa Rasmussen,2014,Odense Gymnastik Forening,DEN,Qualification_1,12,65.87,32.045,10,12.5,10.045,9.5,0,1,1,0,0,9,7,7,8,6,10,6,6,6,8,2,0,1075,1005,980,970,985,970,1120,1040,985,915,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Isa Rasmussen,2014,Odense Gymnastik Forening,DEN,Qualification_2,12,65.87,33.825,10,11.9,9.625,9.4,2.9,1,2,0,0,8,10,7,9,9,6,9,8,6,9,0,0,960,930,970,955,945,970,1040,990,955,910,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Ea Heilmann Dominiak,2013,Haslev TT,DEN,Qualification_1,9,70.785,33.79,10,13.4,10.99,9.4,0,1,1,0,0,8,4,6,8,9,6,5,6,6,6,2,0,1165,1095,1080,1095,1025,1075,1180,1100,1080,1095,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Ea Heilmann Dominiak,2013,Haslev TT,DEN,Qualification_2,9,70.785,36.995,10,13.2,10.895,9.9,3,1,2,0,0,7,6,8,8,6,8,6,5,6,8,0,0,1120,1175,1130,1015,1055,1135,1045,1020,1115,1085,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Maya Andrea Devenny,2012,Strib Udspring & Trampolin,DEN,Qualification_1,2,78.255,37.875,10,15.9,12.175,9.8,0,1,1,0,0,6,4,2,5,4,2,6,5,3,4,0,0,1365,1280,1225,1175,1170,1215,1300,1185,1145,1115,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Maya Andrea Devenny,2012,Strib Udspring & Trampolin,DEN,Qualification_2,2,78.255,40.38,10,13.5,11.48,9.5,5.9,1,2,0,0,9,6,7,8,8,6,6,4,5,6,0,0,1220,1210,1170,1135,1150,1165,1150,1150,1125,1005,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Esther Holritzer,2012,KTK,DEN,Final,4,39.385,39.385,10,14.3,11.785,9.2,4.1,1,1,0,0,4,5,4,8,8,6,7,0,6,7,2,0,1250,1205,1235,1195,1155,1125,1095,1135,1240,1150,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame D Individuel,Zeline Emilie Lea Olesen,2013,Strib Udspring & Trampolin,DEN,Qualification_1,7,72,34.8,10,14.1,10.9,9.8,0,1,1,0,0,7,4,6,7,8,5,4,6,4,8,0,0,1235,1140,1070,1050,950,1035,1235,1150,1105,930,TRA FIG 2022,Complete
